0,Week ending,<1,01-14,15-44,45-64,65-74,75-84,85+
1,2022-01-07 00:00:00,0,0,31,186,168,296,342
2,2022-01-14 00:00:00,3,1,46,223,249,441,597
3,2022-01-21 00:00:00,1,0,31,178,263,453,747
4,2022-01-28 00:00:00,1,2,23,161,224,455,679
5,2022-02-04 00:00:00,0,0,10,156,184,408,632
6,2022-02-11 00:00:00,0,1,21,112,172,358,521
