0,UK,England and Wales,England,Wales,Scotland,Northern Ireland,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West
2021-01-02 00:00:00,154,153,143,9,1,0,1,4,11,13,18,42,29,24,1
2021-01-03 00:00:00,17,17,10,7,0,0,0,2,0,0,2,0,6,0,0
2021-01-04 00:00:00,1106,1042,968,72,14,50,51,118,91,75,95,129,172,186,51
2021-01-05 00:00:00,1291,1175,1090,85,92,24,49,144,100,90,116,146,181,214,50
2021-01-06 00:00:00,1317,1213,1114,98,82,22,47,101,82,80,107,166,221,259,51
2021-01-07 00:00:00,1366,1243,1145,98,102,21,45,132,77,95,94,154,221,256,71
2021-01-08 00:00:00,1340,1214,1127,85,98,28,36,107,64,87,118,179,217,258,61
2021-01-09 00:00:00,213,211,207,4,2,0,2,10,6,16,19,55,59,40,0
2021-01-10 00:00:00,24,22,20,2,2,0,0,2,1,0,0,5,11,1,0
2021-01-11 00:00:00,1350,1254,1173,80,59,37,40,110,84,71,111,174,241,262,80
2021-01-12 00:00:00,1507,1391,1302,87,81,35,48,148,74,95,140,207,240,265,85
2021-01-13 00:00:00,1533,1432,1327,102,73,28,48,165,88,108,147,215,231,270,55
2021-01-14 00:00:00,1597,1504,1394,107,73,20,54,149,73,101,167,244,252,270,84
2021-01-15 00:00:00,1550,1431,1344,85,86,33,57,147,68,109,132,196,238,303,94
2021-01-16 00:00:00,187,185,178,7,1,1,3,13,14,3,25,34,63,21,2
2021-01-17 00:00:00,16,15,15,0,1,0,0,2,0,2,1,1,8,1,0
2021-01-18 00:00:00,1630,1484,1388,91,84,62,40,138,75,109,167,207,264,291,97
2021-01-19 00:00:00,1807,1679,1569,107,100,28,54,195,87,136,162,237,258,343,97
2021-01-20 00:00:00,1838,1701,1611,86,102,35,59,178,89,135,163,234,292,354,107
2021-01-21 00:00:00,1832,1727,1644,81,76,29,61,175,105,113,189,237,276,363,125
2021-01-22 00:00:00,1742,1631,1551,75,84,27,62,178,89,107,137,266,239,361,112
2021-01-23 00:00:00,215,212,208,4,3,0,1,20,13,0,33,60,46,34,1
2021-01-24 00:00:00,15,11,11,0,4,0,0,2,0,1,1,3,4,0,0
2021-01-25 00:00:00,1730,1590,1511,78,105,35,43,160,88,127,144,237,265,346,101
2021-01-26 00:00:00,1924,1793,1714,76,99,32,64,216,85,124,193,276,269,349,138
2021-01-27 00:00:00,1878,1763,1674,87,88,27,62,169,102,119,184,270,271,352,145
2021-01-28 00:00:00,1666,1565,1503,60,80,21,51,176,92,123,162,228,213,316,142
2021-01-29 00:00:00,1586,1499,1442,56,65,22,48,167,82,116,153,223,197,313,143
2021-01-30 00:00:00,179,175,171,4,4,0,1,15,9,3,49,40,27,23,4
2021-01-31 00:00:00,20,15,15,0,5,0,0,3,0,0,6,1,5,0,0
2021-02-01 00:00:00,1495,1373,1298,71,85,37,45,154,67,99,156,194,218,256,109
2021-02-02 00:00:00,1768,1646,1563,79,89,33,65,224,83,119,187,240,200,295,150
2021-02-03 00:00:00,1554,1471,1409,60,62,21,46,164,73,113,158,242,195,312,106
2021-02-04 00:00:00,1462,1373,1314,57,75,14,42,165,76,120,146,203,166,281,115
2021-02-05 00:00:00,1344,1267,1220,43,56,21,59,145,77,110,122,178,171,248,110
2021-02-06 00:00:00,137,130,127,3,7,0,2,14,12,4,29,25,20,19,2
2021-02-07 00:00:00,9,4,4,0,5,0,0,0,0,0,1,1,1,1,0
2021-02-08 00:00:00,1296,1200,1149,51,70,26,49,144,63,104,114,178,174,220,103
2021-02-09 00:00:00,1290,1191,1150,39,67,32,43,169,70,120,140,153,148,213,94
