0,Week ending,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales
1,2022-01-07 00:00:00,619,1716,1316,1098,1291,1248,1112,1750,1320,776
2,2022-01-14 00:00:00,697,1765,1291,1158,1403,1471,1337,1980,1297,884
3,2022-01-21 00:00:00,660,1778,1258,1031,1370,1396,1215,1998,1306,743
4,2022-01-28 00:00:00,646,1552,1307,1046,1405,1272,1183,1921,1321,729
5,2022-02-04 00:00:00,678,1621,1204,1006,1245,1230,1090,1866,1198,705
6,2022-02-11 00:00:00,651,1515,1141,1012,1247,1264,1073,1687,1283,672
