0,Week ending,All ages,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1,2022-01-07 00:00:00,391,0,0,0,0,0,1,1,4,3,3,7,12,15,21,23,28,45,70,71,87
2,2022-01-14 00:00:00,601,1,0,0,1,0,1,0,3,4,9,6,20,14,42,38,51,76,88,98,149
3,2022-01-21 00:00:00,638,0,0,0,0,0,1,0,2,7,5,7,13,10,30,36,37,78,85,130,197
4,2022-01-28 00:00:00,621,0,0,0,0,1,0,1,1,3,0,8,8,12,20,28,43,59,103,142,192
5,2022-02-04 00:00:00,583,0,0,0,0,0,1,1,1,1,2,6,13,18,19,25,47,65,88,132,164
6,2022-02-11 00:00:00,485,0,0,0,1,0,0,3,3,1,3,3,8,8,15,23,36,62,78,106,135
