0,UK,England and Wales,England,Wales,Scotland,Northern Ireland,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West
2021-12-07 00:00:00,126,100,93,6,21,5,6,16,8,11,11,10,12,14,5
2021-12-08 00:00:00,126,113,107,6,9,4,4,18,10,8,14,12,12,13,16
2021-12-09 00:00:00,126,113,103,10,10,3,6,13,6,5,20,9,11,23,10
2021-12-10 00:00:00,119,103,95,8,9,7,4,15,5,11,11,9,18,11,11
2021-12-11 00:00:00,105,90,82,8,9,6,5,10,7,11,7,9,11,14,8
2021-12-12 00:00:00,131,119,115,4,9,3,7,18,12,15,11,8,21,10,13
2021-12-13 00:00:00,106,96,89,6,6,4,5,10,12,9,7,9,15,13,9
2021-12-14 00:00:00,150,130,122,6,10,10,4,21,9,10,11,9,19,24,15
2021-12-15 00:00:00,114,102,93,8,6,6,5,19,7,7,19,5,9,10,12
2021-12-16 00:00:00,111,98,93,5,9,4,2,14,8,7,8,11,12,17,14
2021-12-17 00:00:00,124,114,107,7,4,6,5,12,14,15,12,15,10,11,13
2021-12-18 00:00:00,106,98,91,7,5,3,8,10,4,14,7,7,16,16,9
2021-12-19 00:00:00,111,102,97,3,6,3,4,16,8,7,12,10,16,13,11
2021-12-20 00:00:00,129,112,104,6,13,4,8,21,6,16,12,16,8,9,8
2021-12-21 00:00:00,104,87,84,2,15,2,8,9,8,10,8,10,13,11,7
2021-12-22 00:00:00,129,119,116,3,8,2,6,17,10,14,14,12,19,15,9
2021-12-23 00:00:00,131,122,119,2,6,3,6,18,9,12,8,20,24,12,10
2021-12-24 00:00:00,114,108,101,7,6,0,2,14,7,10,14,13,24,12,5
2021-12-25 00:00:00,108,95,92,2,9,4,7,10,16,6,10,7,13,17,6
2021-12-26 00:00:00,113,103,98,5,4,6,3,12,11,11,11,9,22,10,9
2021-12-27 00:00:00,127,116,109,7,8,3,4,13,10,13,11,11,22,19,6
2021-12-28 00:00:00,152,130,128,2,19,3,7,19,10,18,7,17,24,11,15
2021-12-29 00:00:00,123,108,99,9,11,4,2,13,4,8,12,13,28,11,8
2021-12-30 00:00:00,168,158,149,8,10,0,8,25,8,12,15,14,34,17,16
2021-12-31 00:00:00,145,133,123,10,10,2,6,21,8,16,16,9,15,21,11
2022-01-01 00:00:00,165,151,141,10,10,4,5,25,11,16,11,15,31,17,10
2022-01-02 00:00:00,162,147,136,11,9,6,2,18,14,12,15,16,39,13,7
2022-01-03 00:00:00,170,156,146,9,7,7,8,22,13,9,14,14,29,19,18
2022-01-04 00:00:00,195,167,149,18,24,4,7,23,11,18,21,18,25,18,8
2022-01-05 00:00:00,168,152,147,5,12,4,6,27,13,11,11,26,24,18,11
2022-01-06 00:00:00,207,183,170,12,20,4,6,39,14,12,23,17,36,14,9
2022-01-07 00:00:00,217,202,195,6,12,3,5,37,28,20,23,18,26,23,15
2022-01-08 00:00:00,207,189,180,8,14,4,8,40,15,15,18,23,31,18,12
2022-01-09 00:00:00,232,205,192,11,18,9,8,38,19,18,20,15,33,27,14
2022-01-10 00:00:00,233,206,192,14,24,3,12,30,21,19,22,29,29,17,13
2022-01-11 00:00:00,225,208,195,11,16,1,8,29,22,24,21,28,38,16,9
2022-01-12 00:00:00,227,200,187,13,16,11,18,32,20,14,16,13,28,29,17
2022-01-13 00:00:00,232,194,181,13,29,9,8,30,18,16,23,22,36,19,9
2022-01-14 00:00:00,225,202,192,9,20,3,13,33,16,15,24,27,35,17,12
2022-01-15 00:00:00,244,216,197,18,24,4,10,32,24,16,23,13,37,28,14
2022-01-16 00:00:00,243,218,200,17,19,6,18,35,20,16,22,16,34,25,14
2022-01-17 00:00:00,225,204,191,13,17,4,10,32,26,15,22,23,24,25,14
2022-01-18 00:00:00,219,199,187,11,14,6,18,29,19,20,18,19,32,25,7
2022-01-19 00:00:00,210,182,169,13,21,7,11,24,15,17,21,27,18,22,14
2022-01-20 00:00:00,195,167,160,6,21,7,17,22,20,12,15,17,21,25,11
2022-01-21 00:00:00,236,212,202,10,19,5,15,34,27,20,19,22,32,23,10
2022-01-22 00:00:00,212,190,184,6,16,6,17,30,17,21,17,23,27,26,6
2022-01-23 00:00:00,207,179,171,8,22,6,15,31,21,20,19,19,19,12,15
2022-01-24 00:00:00,215,196,190,6,14,5,13,36,18,15,22,21,27,24,14
2022-01-25 00:00:00,183,159,147,11,18,6,8,20,20,15,19,18,19,10,18
2022-01-26 00:00:00,189,176,168,8,12,1,11,20,20,24,17,19,24,21,12
2022-01-27 00:00:00,204,174,164,10,19,11,11,30,22,18,20,14,16,21,12
2022-01-28 00:00:00,193,168,154,14,21,4,18,24,20,14,14,14,19,19,12
2022-01-29 00:00:00,174,156,153,3,13,5,9,28,23,9,26,19,19,9,11
2022-01-30 00:00:00,185,170,164,5,13,2,11,27,13,14,19,18,19,22,21
2022-01-31 00:00:00,192,176,162,13,14,2,13,18,28,15,23,18,12,22,13
2022-02-01 00:00:00,192,167,156,11,18,7,19,27,9,18,18,12,15,28,10
2022-02-02 00:00:00,174,160,151,9,10,4,5,16,11,23,25,16,18,22,15
2022-02-03 00:00:00,174,154,148,6,14,6,12,27,12,17,11,14,9,24,22
2022-02-04 00:00:00,153,143,138,5,7,3,11,12,13,20,19,19,19,12,13
2022-02-05 00:00:00,143,132,125,6,9,2,8,26,13,10,17,12,11,18,10
2022-02-06 00:00:00,134,118,112,6,12,4,7,19,12,5,16,11,7,17,18
2022-02-07 00:00:00,120,110,107,3,6,4,7,17,14,4,13,15,11,17,9
2022-02-08 00:00:00,124,112,108,3,9,3,8,17,13,9,21,11,8,14,7
2022-02-09 00:00:00,101,94,87,7,2,5,8,12,11,9,10,13,7,7,10
2022-02-10 00:00:00,77,73,72,1,3,1,10,5,10,7,9,14,7,4,6
2022-02-11 00:00:00,59,58,52,6,0,1,3,10,5,5,9,4,9,2,5
