0,Week ending,All ages,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1,2022-01-07 00:00:00,6045,30,3,2,2,4,11,26,29,41,59,79,161,263,349,425,707,871,1009,1041,933
2,2022-01-14 00:00:00,6816,30,0,3,2,10,24,23,50,47,63,109,184,279,411,519,710,1007,1093,1179,1073
3,2022-01-21 00:00:00,6547,28,3,1,5,13,18,32,41,53,60,121,186,243,379,503,792,926,1044,1094,1005
4,2022-01-28 00:00:00,6314,28,6,0,4,12,17,18,30,57,69,108,187,269,351,458,696,916,1049,1039,1000
5,2022-02-04 00:00:00,6110,26,6,5,2,17,15,28,26,47,58,123,187,294,373,421,692,884,955,1024,927
6,2022-02-11 00:00:00,5844,25,6,2,5,15,16,16,29,44,59,88,158,239,341,443,673,860,965,977,883
