0,Week ending,All ages,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1,2022-01-07 00:00:00,12262,49,5,3,6,6,21,42,41,70,104,142,271,451,585,738,1231,1626,1936,2185,2750
2,2022-01-14 00:00:00,13311,49,5,5,8,15,31,32,72,76,104,187,307,444,661,881,1228,1772,2106,2380,2948
3,2022-01-21 00:00:00,12776,42,3,2,10,16,31,41,64,92,117,190,307,412,611,834,1326,1679,1989,2200,2810
4,2022-01-28 00:00:00,12401,44,10,5,7,18,26,33,47,91,105,194,301,425,585,751,1151,1606,2015,2223,2764
5,2022-02-04 00:00:00,11862,41,7,6,3,22,22,40,43,68,101,187,304,478,596,707,1203,1553,1823,2072,2586
6,2022-02-11 00:00:00,11558,50,14,6,9,29,25,29,51,67,105,144,276,409,536,720,1132,1542,1839,2100,2475
