0,Week ending,All ages,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1,2022-01-07 00:00:00,531,0,0,0,0,0,0,3,2,7,4,15,19,33,49,31,64,72,79,76,77
2,2022-01-14 00:00:00,781,2,0,0,0,1,3,0,5,7,8,11,23,35,47,65,65,109,128,139,133
3,2022-01-21 00:00:00,846,1,0,0,0,2,0,1,4,3,4,6,24,24,44,66,101,112,128,157,169
4,2022-01-28 00:00:00,764,1,0,0,1,1,0,0,5,4,7,11,14,24,47,44,80,101,134,148,142
5,2022-02-04 00:00:00,659,0,0,0,0,0,1,0,1,0,2,12,15,23,37,34,52,90,123,141,128
6,2022-02-11 00:00:00,581,0,0,0,0,0,0,1,2,3,3,8,7,23,31,40,53,75,106,115,114
