0,Week ending,All ages,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1,2022-01-07 00:00:00,6217,19,2,1,4,2,10,16,12,29,45,63,110,188,236,313,524,755,927,1144,1817
2,2022-01-14 00:00:00,6495,19,5,2,6,5,7,9,22,29,41,78,123,165,250,362,518,765,1013,1201,1875
3,2022-01-21 00:00:00,6229,14,0,1,5,3,13,9,23,39,57,69,121,169,232,331,534,753,945,1106,1805
4,2022-01-28 00:00:00,6087,16,4,5,3,6,9,15,17,34,36,86,114,156,234,293,455,690,966,1184,1764
5,2022-02-04 00:00:00,5752,15,1,1,1,5,7,12,17,21,43,64,117,184,223,286,511,669,868,1048,1659
6,2022-02-11 00:00:00,5714,25,8,4,4,14,9,13,22,23,46,56,118,170,195,277,459,682,874,1123,1592
