0,Week ending,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales
1,2021-01-08 00:00:00,199,579,351,411,568,881,1235,1241,307,392
2,2021-01-15 00:00:00,270,808,416,606,840,1276,1411,1641,460,471
3,2021-01-22 00:00:00,288,943,480,662,939,1371,1442,1863,669,393
4,2021-01-29 00:00:00,288,973,422,626,903,1130,1072,1536,697,352
5,2021-02-05 00:00:00,258,840,427,536,737,827,770,1047,491,252
6,2021-02-12 00:00:00,185,656,320,435,588,630,531,719,376,199
7,2021-02-19 00:00:00,151,506,277,355,447,446,411,533,227,157
8,2021-02-26 00:00:00,104,334,215,233,332,260,263,377,161,125
9,2021-03-05 00:00:00,79,227,159,175,224,184,174,260,90,73
10,2021-03-12 00:00:00,51,154,125,134,134,143,116,161,63,57
11,2021-03-19 00:00:00,30,120,82,88,87,73,75,126,36,47
12,2021-03-26 00:00:00,25,91,65,76,70,64,55,74,30,24
13,2021-04-02 00:00:00,19,58,39,40,51,31,44,55,18,13
14,2021-04-09 00:00:00,12,38,36,32,38,30,34,36,21,13
15,2021-04-16 00:00:00,8,37,40,20,26,33,32,25,10,12
16,2021-04-23 00:00:00,4,22,38,17,32,21,15,25,10,10
17,2021-04-30 00:00:00,6,20,16,11,17,15,15,20,13,3
18,2021-05-07 00:00:00,3,14,19,9,7,14,16,13,13,5
19,2021-05-14 00:00:00,6,11,15,3,16,10,8,14,3,5
20,2021-05-21 00:00:00,2,11,8,8,7,9,10,9,4,6
21,2021-05-28 00:00:00,0,16,9,5,10,4,15,10,0,3
22,2021-06-04 00:00:00,2,20,8,12,9,6,9,6,1,0
23,2021-06-11 00:00:00,2,14,9,6,8,7,14,14,2,1
24,2021-06-18 00:00:00,0,23,5,7,12,6,18,7,1,0
25,2021-06-25 00:00:00,2,53,9,3,9,6,11,13,3,4
26,2021-07-02 00:00:00,6,53,16,8,14,6,17,8,10,1
27,2021-07-09 00:00:00,19,61,15,13,29,9,18,19,8,2
28,2021-07-16 00:00:00,25,91,30,13,29,13,23,22,10,11
29,2021-07-23 00:00:00,37,108,55,32,51,26,56,29,30,17
30,2021-07-30 00:00:00,48,108,71,30,47,32,59,54,30,20
31,2021-08-06 00:00:00,66,95,68,48,65,33,76,58,32,20
32,2021-08-13 00:00:00,33,106,95,43,74,50,72,37,36,12
33,2021-08-20 00:00:00,41,89,77,57,76,62,91,70,52,21
34,2021-08-27 00:00:00,49,108,84,67,94,69,92,82,63,23
35,2021-09-03 00:00:00,45,102,110,78,108,64,95,65,70,48
36,2021-09-10 00:00:00,42,133,131,97,100,71,97,108,75,67
37,2021-09-17 00:00:00,62,134,101,74,104,76,77,83,60,85
38,2021-09-24 00:00:00,62,110,94,82,87,76,85,74,57,59
39,2021-10-01 00:00:00,47,85,82,66,69,36,106,68,58,88
40,2021-10-08 00:00:00,41,98,79,60,75,44,74,62,57,72
41,2021-10-15 00:00:00,50,115,103,70,85,49,76,67,65,81
42,2021-10-22 00:00:00,52,140,106,74,100,67,78,74,60,89
43,2021-10-29 00:00:00,53,141,119,87,111,113,80,108,106,87
44,2021-11-05 00:00:00,73,137,123,83,106,89,85,138,92,85
45,2021-11-12 00:00:00,59,134,108,80,100,81,96,117,82,82
46,2021-11-19 00:00:00,35,144,97,101,82,81,65,101,75,70
47,2021-11-26 00:00:00,46,90,94,75,96,83,77,90,76,64
48,2021-12-03 00:00:00,40,102,83,91,82,79,82,111,62,53
49,2021-12-10 00:00:00,34,105,64,76,101,75,99,99,72,62
50,2021-12-17 00:00:00,33,104,69,74,75,66,97,99,84,44
51,2021-12-24 00:00:00,42,105,52,83,75,88,120,88,59,30
52,2021-12-31 00:00:00,37,113,67,84,82,80,158,106,71,43
1,2022-01-07 00:00:00,39,191,104,98,118,124,210,122,78,71
2,2022-01-14 00:00:00,75,232,131,121,144,157,230,143,86,79
3,2022-01-21 00:00:00,99,208,151,116,140,137,198,173,84,88
4,2022-01-28 00:00:00,93,191,138,127,128,128,151,133,89,63
5,2022-02-04 00:00:00,80,155,109,116,141,116,111,139,105,52
6,2022-02-11 00:00:00,51,106,78,49,95,80,60,79,65,32
