0,Week ending,All ages,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1,2022-01-07 00:00:00,922,0,0,0,0,0,1,4,6,10,7,22,31,48,70,54,92,117,149,147,164
2,2022-01-14 00:00:00,1382,3,0,0,1,1,4,0,8,11,17,17,43,49,89,103,116,185,216,237,282
3,2022-01-21 00:00:00,1484,1,0,0,0,2,1,1,6,10,9,13,37,34,74,102,138,190,213,287,366
4,2022-01-28 00:00:00,1385,1,0,0,1,2,0,1,6,7,7,19,22,36,67,72,123,160,237,290,334
5,2022-02-04 00:00:00,1242,0,0,0,0,0,2,1,2,1,4,18,28,41,56,59,99,155,211,273,292
6,2022-02-11 00:00:00,1066,0,0,0,1,0,0,4,5,4,6,11,15,31,46,63,89,137,184,221,249
