0,Week ending,All ages,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1,2021-01-08 00:00:00,2858,0,0,1,0,2,2,2,5,10,14,24,49,86,99,164,248,328,495,590,739
2,2021-01-15 00:00:00,3850,0,0,0,0,1,2,0,5,14,17,44,62,89,146,181,312,434,615,789,1139
3,2021-01-22 00:00:00,4339,0,0,0,0,0,0,7,4,9,19,35,56,111,143,212,338,474,752,907,1272
4,2021-01-29 00:00:00,3902,0,0,0,0,0,1,2,9,10,17,23,70,80,134,186,304,422,604,849,1191
5,2021-02-05 00:00:00,2920,0,0,0,0,0,1,3,6,11,18,37,49,57,110,134,210,326,459,592,907
6,2021-02-12 00:00:00,2169,0,0,0,0,0,1,1,5,2,7,26,39,51,85,137,176,241,357,422,619
7,2021-02-19 00:00:00,1630,0,0,0,1,0,0,4,1,9,12,16,31,54,69,98,136,196,225,304,474
8,2021-02-26 00:00:00,1133,0,0,0,0,0,0,2,2,9,6,12,26,44,53,67,95,122,159,233,303
9,2021-03-05 00:00:00,735,0,0,0,0,0,0,1,1,4,4,10,25,24,43,58,51,70,109,151,184
10,2021-03-12 00:00:00,501,0,0,0,1,0,0,1,1,1,4,8,16,25,20,34,48,64,65,97,116
11,2021-03-19 00:00:00,337,0,0,0,0,0,0,0,0,1,1,6,4,13,22,19,32,30,55,59,95
12,2021-03-26 00:00:00,269,0,0,0,0,0,0,0,3,1,2,4,8,7,18,21,19,32,26,53,75
13,2021-04-02 00:00:00,173,0,0,0,0,0,0,0,3,3,0,5,6,13,8,10,12,18,28,29,38
14,2021-04-09 00:00:00,131,0,0,0,0,0,1,0,0,1,1,1,3,4,11,8,4,17,21,26,33
15,2021-04-16 00:00:00,108,0,0,0,0,0,0,0,0,0,1,1,2,5,7,10,7,12,18,23,22
16,2021-04-23 00:00:00,90,0,0,0,0,0,1,0,0,0,1,1,2,3,5,8,9,6,17,19,18
17,2021-04-30 00:00:00,65,0,0,0,0,0,0,0,0,1,1,1,2,2,4,4,7,7,11,11,14
18,2021-05-07 00:00:00,45,0,0,0,0,0,0,0,0,0,0,0,3,2,3,1,3,5,3,9,16
19,2021-05-14 00:00:00,50,0,0,0,0,0,0,1,0,0,0,0,2,1,3,10,5,7,6,7,8
20,2021-05-21 00:00:00,35,0,0,0,0,0,0,0,0,1,1,2,0,1,2,3,2,2,7,8,6
21,2021-05-28 00:00:00,33,0,0,0,0,0,0,0,0,0,0,1,3,3,3,2,2,2,4,5,8
22,2021-06-04 00:00:00,38,0,0,0,0,0,0,0,1,1,0,2,0,1,2,6,3,6,7,2,7
23,2021-06-11 00:00:00,37,0,0,0,1,0,0,1,0,1,0,2,2,4,3,1,2,4,7,3,6
24,2021-06-18 00:00:00,28,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,3,3,4,3,9
25,2021-06-25 00:00:00,41,0,0,0,0,0,0,0,1,1,1,1,3,2,3,3,4,2,2,10,8
26,2021-07-02 00:00:00,61,0,0,0,0,0,0,0,0,3,0,1,1,3,6,1,6,13,8,11,8
27,2021-07-09 00:00:00,98,0,0,0,0,0,0,0,1,0,3,5,5,4,6,7,10,16,9,16,16
28,2021-07-16 00:00:00,106,0,0,0,0,0,1,1,0,1,2,2,6,6,7,8,12,10,20,12,18
29,2021-07-23 00:00:00,191,0,0,0,0,1,0,1,1,0,5,6,4,6,16,17,14,14,32,32,42
30,2021-07-30 00:00:00,190,0,0,0,0,0,2,0,3,2,6,4,9,6,10,18,22,15,25,30,38
31,2021-08-06 00:00:00,208,0,0,0,0,0,0,1,1,4,4,2,5,15,19,19,19,18,41,24,36
32,2021-08-13 00:00:00,224,0,0,0,0,0,0,2,1,1,5,5,9,11,13,17,20,33,34,35,38
33,2021-08-20 00:00:00,275,0,0,1,0,0,0,0,2,2,6,9,8,18,17,23,26,44,38,34,47
34,2021-08-27 00:00:00,304,0,0,2,0,1,0,0,1,4,4,6,10,21,19,21,24,34,42,55,60
35,2021-09-03 00:00:00,304,0,0,0,0,0,0,0,1,5,0,7,10,26,14,15,34,32,42,47,71
36,2021-09-10 00:00:00,414,0,1,0,1,2,0,0,3,5,4,5,16,21,24,28,43,52,64,60,85
37,2021-09-17 00:00:00,362,0,0,0,0,0,1,1,1,6,3,3,11,14,20,27,48,44,51,55,77
38,2021-09-24 00:00:00,334,1,0,0,0,1,1,3,2,4,6,7,15,17,19,31,37,35,46,45,64
39,2021-10-01 00:00:00,299,0,0,0,0,1,0,0,2,3,1,5,4,12,24,24,33,39,41,46,64
40,2021-10-08 00:00:00,268,0,0,0,0,0,0,1,2,0,2,5,4,15,16,16,35,33,49,31,59
41,2021-10-15 00:00:00,339,0,0,0,0,0,0,0,2,0,4,6,12,14,19,22,29,55,47,56,73
42,2021-10-22 00:00:00,345,1,0,0,0,0,1,0,1,3,4,5,7,12,20,33,36,47,51,56,68
43,2021-10-29 00:00:00,441,1,1,1,1,0,0,1,1,2,5,5,10,19,25,41,45,54,73,57,99
44,2021-11-05 00:00:00,410,0,1,0,0,0,0,1,0,3,3,8,13,13,30,29,39,58,65,76,71
45,2021-11-12 00:00:00,379,0,1,0,0,0,0,0,1,3,8,6,11,13,25,27,51,43,55,58,77
46,2021-11-19 00:00:00,317,0,0,0,0,0,1,0,2,0,5,7,8,14,15,29,30,44,54,52,56
47,2021-11-26 00:00:00,311,0,0,0,1,0,0,1,2,0,2,7,11,13,20,27,35,32,53,58,49
48,2021-12-03 00:00:00,333,0,0,0,1,0,1,1,5,3,2,6,8,10,16,39,36,43,49,56,57
49,2021-12-10 00:00:00,358,0,1,0,1,1,1,1,2,3,2,8,17,26,17,26,36,43,61,48,64
50,2021-12-17 00:00:00,322,0,0,0,0,1,0,0,1,5,4,7,11,17,20,28,44,43,34,56,51
51,2021-12-24 00:00:00,319,0,0,0,0,0,0,0,2,9,6,2,10,19,20,24,33,36,41,59,58
