0,Week ending,<1,01-14,15-44,45-64,65-74,75-84,85+
1,2022-01-07 00:00:00,0,0,12,61,62,131,178
2,2022-01-14 00:00:00,1,1,21,90,104,181,290
3,2022-01-21 00:00:00,0,0,16,65,82,187,373
4,2022-01-28 00:00:00,0,0,6,57,84,185,369
5,2022-02-04 00:00:00,0,0,6,58,84,170,334
6,2022-02-11 00:00:00,0,1,11,36,67,153,278
